Lead_ID,Lead_Source,Campaign,Impressions,Clicks,Leads,Qualified_Leads,Opportunities,Conversions,Marketing_Spend,Date
72,Email Marketing,Retargeting,9449,607,207,164,120,58,946.68,2024-05-08
73,Organic Search,Search Campaign,2404,84,26,20,15,10,1199.78,2024-02-22
74,Google Ads,B2B Outreach,12916,1267,246,143,68,27,694.52,2024-01-04
75,Organic Search,B2B Outreach,7565,824,238,122,61,18,1096.7,2024-04-27
76,Facebook Ads,Search Campaign,2770,212,66,45,28,18,926.27,2024-04-21
77,Facebook Ads,Retargeting,4814,156,45,32,21,8,445.47,2024-02-07
78,Email Marketing,Retargeting,11521,957,189,123,93,40,1125.18,2024-03-19
79,Email Marketing,B2B Outreach,7115,404,93,69,49,23,1715.76,2024-01-17
80,Facebook Ads,Newsletter,5579,200,22,15,8,3,1243.37,2024-04-24
81,Facebook Ads,Retargeting,8254,343,45,24,10,5,527.38,2024-01-25
82,LinkedIn Ads,Brand Awareness,13458,1462,334,280,179,69,1679.22,2024-04-01
83,Organic Search,Retargeting,6777,311,37,20,11,4,855.69,2024-03-18
84,Google Ads,Retargeting,11945,1100,120,93,60,19,1772.44,2024-03-03
85,Organic Search,Brand Awareness,6143,218,36,28,19,7,576.83,2024-05-06
86,Google Ads,Retargeting,2055,151,38,23,13,7,266.03,2024-02-25
87,Google Ads,Retargeting,7126,654,203,154,63,40,837.46,2024-04-24
88,Organic Search,Search Campaign,5086,200,56,31,19,12,360.57,2024-05-05
89,Email Marketing,Search Campaign,6632,730,181,133,95,47,356.46,2024-04-20
90,Organic Search,B2B Outreach,11685,967,276,179,80,33,853.55,2024-01-26
91,LinkedIn Ads,B2B Outreach,3761,195,43,26,20,6,605.6,2024-03-10
92,LinkedIn Ads,Newsletter,7622,563,176,93,67,21,1716.17,2024-05-10
93,Google Ads,Brand Awareness,10434,330,90,76,57,30,1851.31,2024-03-19
94,LinkedIn Ads,B2B Outreach,10837,1276,284,213,155,91,1163.07,2024-01-26
95,Organic Search,Retargeting,8316,825,121,74,42,21,636.34,2024-02-16
96,Email Marketing,B2B Outreach,4048,343,59,41,18,8,1158.66,2024-06-09
97,LinkedIn Ads,Retargeting,11093,668,89,46,36,15,1657.77,2024-03-05
98,Email Marketing,Newsletter,3342,305,88,62,36,16,827.96,2024-02-18
99,Facebook Ads,Newsletter,3604,377,128,69,47,31,526.22,2024-02-04
100,Google Ads,Brand Awareness,4560,440,107,85,38,23,562.93,2024-01-30
101,LinkedIn Ads,Retargeting,11506,515,156,114,69,30,1778.96,2024-03-29
102,LinkedIn Ads,B2B Outreach,12641,1308,274,173,101,42,1545.7,2024-05-22
103,Email Marketing,B2B Outreach,11184,569,184,116,71,47,1323.63,2024-06-27
104,Google Ads,Newsletter,10389,1190,305,188,85,52,1316.13,2024-06-03
105,Google Ads,Search Campaign,2419,289,83,62,44,15,568.18,2024-03-06
106,Facebook Ads,Search Campaign,6612,720,133,104,46,29,429.48,2024-01-15
107,Email Marketing,Retargeting,5228,410,90,57,40,12,1277.2,2024-06-12
108,Organic Search,Search Campaign,2793,147,27,15,11,5,921.53,2024-02-16
109,Google Ads,Search Campaign,2345,270,37,26,15,8,232.6,2024-02-29
110,Facebook Ads,B2B Outreach,12922,1471,354,263,202,117,474.57,2024-04-01
111,Email Marketing,Search Campaign,13641,493,58,31,22,14,421.06,2024-04-10
112,Google Ads,Retargeting,5476,245,35,27,14,5,609.31,2024-05-22
113,Google Ads,Retargeting,4708,301,86,49,35,18,405.68,2024-01-25
114,Google Ads,Newsletter,3625,408,76,47,32,15,604.29,2024-04-17
115,Facebook Ads,Search Campaign,3205,147,33,21,16,7,1245.06,2024-05-29
116,Organic Search,Brand Awareness,4713,146,38,21,16,5,946.32,2024-03-03
117,Google Ads,Retargeting,11916,555,97,59,32,15,1639.61,2024-03-02
118,Facebook Ads,Newsletter,4079,294,75,47,34,18,729.28,2024-04-24
119,Email Marketing,Retargeting,13249,1022,214,137,85,30,527.47,2024-06-05
120,Facebook Ads,Brand Awareness,14342,1651,319,189,124,57,245.7,2024-02-01
121,Email Marketing,Retargeting,5462,487,51,29,14,7,235.48,2024-02-23
122,LinkedIn Ads,Brand Awareness,5310,431,138,95,65,40,1979.71,2024-02-01
123,Google Ads,B2B Outreach,13383,1373,467,387,176,81,783.18,2024-01-07
124,Google Ads,Retargeting,6425,242,36,18,8,4,958.56,2024-01-02
125,Email Marketing,Newsletter,12112,1254,232,137,75,40,682.51,2024-01-05
126,Facebook Ads,Retargeting,2804,187,44,28,14,9,1574.49,2024-01-24
127,Organic Search,Search Campaign,14880,1609,356,289,208,97,240.44,2024-01-14
128,Google Ads,Newsletter,14808,1166,301,177,80,50,1971.92,2024-01-29
129,Email Marketing,Search Campaign,13372,1233,333,262,160,100,1096.56,2024-02-03
130,Google Ads,B2B Outreach,9184,610,136,102,45,16,674.63,2024-01-31
131,LinkedIn Ads,Retargeting,2645,253,41,29,17,8,1708.59,2024-05-01
132,Google Ads,B2B Outreach,5629,192,27,20,8,4,641.63,2024-05-28
133,Google Ads,Newsletter,5850,327,61,45,23,12,1056.89,2024-04-20
134,Organic Search,Retargeting,4711,538,152,87,35,14,1271.14,2024-03-21
135,Facebook Ads,B2B Outreach,9101,1055,146,104,61,26,832.77,2024-05-08
136,Email Marketing,Search Campaign,3240,302,75,49,21,6,204.21,2024-06-27
137,Google Ads,B2B Outreach,5549,169,21,12,8,5,1622.02,2024-02-26
138,Google Ads,Search Campaign,14086,1083,131,109,76,42,1566.26,2024-04-27
139,Organic Search,Newsletter,9119,970,157,105,51,35,1899.31,2024-02-16
140,Organic Search,B2B Outreach,13551,1267,419,235,147,97,261.1,2024-04-26
141,LinkedIn Ads,Brand Awareness,9686,549,181,152,118,57,1751.68,2024-06-15
142,Email Marketing,Newsletter,5042,296,90,46,29,11,417.02,2024-04-07
143,Organic Search,Newsletter,2130,197,36,27,11,4,1171.08,2024-04-02
144,Facebook Ads,B2B Outreach,2920,281,64,41,30,14,1031.5,2024-02-03
145,LinkedIn Ads,Retargeting,12653,379,55,34,26,8,217.07,2024-01-29
146,Google Ads,Newsletter,4032,266,58,41,30,20,1582.89,2024-06-01
147,LinkedIn Ads,Brand Awareness,10190,692,196,114,50,22,717.03,2024-03-08
148,Organic Search,Search Campaign,2145,109,12,6,4,1,891.79,2024-03-28
149,LinkedIn Ads,Brand Awareness,11155,553,186,144,62,28,1782.41,2024-02-15
150,Google Ads,B2B Outreach,13607,980,248,138,109,42,1896.92,2024-03-03
151,Google Ads,Retargeting,7429,629,143,83,39,15,535.59,2024-01-03
152,Google Ads,Retargeting,5845,596,153,88,53,28,1145.06,2024-05-02
153,Email Marketing,Brand Awareness,9657,737,164,139,105,50,1321.29,2024-05-04
154,LinkedIn Ads,Retargeting,12222,405,131,104,60,27,691.33,2024-01-29
155,Facebook Ads,Brand Awareness,3218,373,117,91,60,31,356.58,2024-05-03
156,LinkedIn Ads,B2B Outreach,2974,90,24,12,7,4,397.04,2024-01-28
157,Email Marketing,B2B Outreach,6036,719,82,66,40,26,1228.37,2024-02-09
158,Google Ads,Brand Awareness,8183,662,110,88,63,35,1731.05,2024-02-28
159,LinkedIn Ads,Search Campaign,3704,222,35,28,12,6,540.6,2024-05-12
160,Organic Search,Search Campaign,2556,277,29,22,9,3,1538.31,2024-06-07
161,LinkedIn Ads,Newsletter,12321,1276,393,266,107,44,1310.47,2024-04-22
162,Email Marketing,Retargeting,4064,164,31,15,10,3,710.02,2024-03-14
163,LinkedIn Ads,Newsletter,7352,857,158,113,87,29,1887.01,2024-04-05
164,LinkedIn Ads,Retargeting,14771,533,93,69,29,15,822.59,2024-04-29
165,LinkedIn Ads,Newsletter,8353,905,310,260,181,63,1564.87,2024-01-07
166,Google Ads,Newsletter,10220,326,58,38,26,14,1002.62,2024-06-22
167,Email Marketing,Newsletter,5356,615,77,61,37,23,737.07,2024-02-01
168,Email Marketing,Brand Awareness,13393,1333,209,114,85,58,256.34,2024-01-21
169,Facebook Ads,Newsletter,8446,572,148,94,47,32,936.8,2024-05-03
170,LinkedIn Ads,Newsletter,2933,148,22,11,7,3,1755.84,2024-01-27
171,Email Marketing,Search Campaign,3607,159,23,12,5,2,1154.64,2024-05-10
172,Google Ads,B2B Outreach,14636,611,66,54,34,21,1066.74,2024-01-17
173,Organic Search,Brand Awareness,14157,1298,269,153,91,29,1247.55,2024-04-26
174,Organic Search,Search Campaign,4433,451,80,52,21,6,906.49,2024-04-19
175,Google Ads,B2B Outreach,13758,1155,199,147,109,66,271.31,2024-06-27
176,LinkedIn Ads,Newsletter,11768,609,211,116,69,37,1464.44,2024-06-16
177,LinkedIn Ads,B2B Outreach,8047,923,109,74,55,18,1684.13,2024-06-02
178,Email Marketing,B2B Outreach,2917,172,59,33,22,13,274.13,2024-06-20
179,LinkedIn Ads,Retargeting,3895,339,93,47,36,11,1174.33,2024-04-23
180,LinkedIn Ads,Retargeting,10907,1182,329,256,137,85,344.21,2024-03-24
181,LinkedIn Ads,Search Campaign,2207,174,52,34,22,11,1516.86,2024-01-12
182,Google Ads,Brand Awareness,12326,1091,239,171,90,43,1539.7,2024-04-28
183,Organic Search,Retargeting,4356,388,87,60,41,16,1993.4,2024-04-14
184,Organic Search,Search Campaign,11274,998,149,109,46,14,663.83,2024-03-16
185,Google Ads,B2B Outreach,14080,1522,428,325,185,81,867.87,2024-01-20
186,Email Marketing,B2B Outreach,2955,99,31,21,12,7,1076.0,2024-03-06
187,Email Marketing,Search Campaign,12574,1396,286,170,108,71,579.19,2024-01-18
188,Organic Search,Newsletter,13815,1453,230,177,99,53,1338.57,2024-01-14
189,Facebook Ads,Newsletter,8477,645,131,68,39,13,929.04,2024-01-14
190,Facebook Ads,Search Campaign,6599,542,143,76,50,21,918.28,2024-06-11
191,Google Ads,B2B Outreach,11444,352,86,61,34,13,622.41,2024-01-10
192,Google Ads,Brand Awareness,13970,974,177,116,77,27,1008.98,2024-01-08
193,Facebook Ads,B2B Outreach,9115,853,120,67,27,16,1394.85,2024-06-13
194,Facebook Ads,B2B Outreach,12544,1329,400,281,209,79,401.46,2024-04-23
195,LinkedIn Ads,Retargeting,12573,441,102,84,34,11,1013.96,2024-02-28
196,LinkedIn Ads,Search Campaign,8980,352,86,63,35,17,1434.74,2024-05-05
197,Organic Search,B2B Outreach,14257,842,289,203,101,51,816.78,2024-02-07
198,LinkedIn Ads,Retargeting,14115,583,77,42,32,18,492.29,2024-03-25
199,Google Ads,B2B Outreach,10320,988,137,79,62,24,1390.94,2024-04-28
200,LinkedIn Ads,Retargeting,12666,1158,259,185,138,72,254.7,2024-03-12
201,Google Ads,Search Campaign,6440,592,159,91,60,27,1372.22,2024-03-30
202,Facebook Ads,B2B Outreach,10125,903,315,162,128,59,1767.36,2024-03-13
203,Email Marketing,B2B Outreach,5828,472,134,108,60,25,1401.67,2024-03-22
204,Organic Search,Newsletter,3000,175,55,34,17,9,791.09,2024-03-05
205,LinkedIn Ads,Search Campaign,13339,1132,272,172,106,57,1182.24,2024-02-04
206,Email Marketing,Newsletter,8059,252,62,34,22,13,1100.8,2024-03-25
207,LinkedIn Ads,Retargeting,14057,1625,506,414,300,103,468.19,2024-02-17
208,Organic Search,Search Campaign,13556,706,154,98,60,35,1487.88,2024-06-19
209,Google Ads,Retargeting,11196,1164,241,196,83,56,1378.45,2024-02-20
210,Email Marketing,Brand Awareness,14046,670,147,83,38,20,1141.55,2024-01-27
211,Facebook Ads,Retargeting,11884,1215,285,173,111,65,690.72,2024-05-11
212,Facebook Ads,Newsletter,4137,169,24,17,8,4,1476.28,2024-02-25
213,Email Marketing,Newsletter,10105,471,155,100,43,26,872.32,2024-06-21
214,Email Marketing,Newsletter,13130,396,102,69,43,26,1363.89,2024-05-01
215,Organic Search,Brand Awareness,7752,818,265,165,81,49,694.65,2024-01-19
216,Google Ads,Search Campaign,5683,387,103,54,35,16,1255.9,2024-06-23
217,Facebook Ads,Search Campaign,11776,1134,358,206,90,27,1355.55,2024-06-08
218,LinkedIn Ads,Newsletter,11738,597,118,83,49,34,445.59,2024-03-25
219,Facebook Ads,Retargeting,13921,924,191,143,96,66,431.11,2024-01-19
220,Google Ads,Newsletter,7699,732,179,106,45,15,1809.54,2024-05-10
221,Organic Search,Brand Awareness,2072,122,19,11,4,2,321.7,2024-01-05
222,Facebook Ads,B2B Outreach,4475,228,53,42,27,13,783.8,2024-01-03
223,Organic Search,Newsletter,10533,950,331,242,150,88,1037.37,2024-01-08
224,Facebook Ads,Search Campaign,2661,214,72,40,27,10,1164.49,2024-06-06
225,LinkedIn Ads,Retargeting,2632,273,27,16,12,5,888.55,2024-01-23
226,Organic Search,Brand Awareness,6443,758,79,59,41,16,1408.81,2024-03-24
227,Facebook Ads,Retargeting,6037,320,95,76,48,24,486.75,2024-05-21
228,Google Ads,Retargeting,6576,331,61,38,20,7,1117.5,2024-03-07
229,LinkedIn Ads,Search Campaign,7299,402,134,107,49,30,1234.26,2024-02-29
230,Facebook Ads,Search Campaign,10435,508,168,90,65,29,1780.35,2024-06-06
231,LinkedIn Ads,Brand Awareness,9629,987,293,177,76,35,512.34,2024-05-09
232,LinkedIn Ads,Retargeting,4978,304,104,75,54,19,1751.63,2024-06-12
233,Google Ads,Retargeting,10286,759,190,145,68,34,917.59,2024-01-25
234,Email Marketing,Search Campaign,7772,490,57,29,13,8,1189.15,2024-02-01
235,Organic Search,B2B Outreach,14415,993,176,119,68,23,1353.49,2024-04-02
236,LinkedIn Ads,Search Campaign,14330,1228,322,178,75,45,1027.64,2024-05-09
237,Email Marketing,Newsletter,8525,1019,116,86,68,26,456.05,2024-03-13
238,Email Marketing,Newsletter,3179,182,22,16,6,3,1994.05,2024-01-17
239,Facebook Ads,Retargeting,12340,1053,185,132,80,37,435.28,2024-04-25
240,Facebook Ads,Retargeting,9870,695,103,64,36,22,1520.51,2024-03-26
241,Facebook Ads,Brand Awareness,5716,177,36,24,9,3,1568.52,2024-02-27
242,Facebook Ads,Brand Awareness,8007,625,96,48,23,15,1642.77,2024-06-21
243,Facebook Ads,Retargeting,2671,197,25,17,9,5,376.55,2024-01-26
244,LinkedIn Ads,Newsletter,12749,554,100,75,44,19,910.06,2024-06-14
245,Organic Search,Newsletter,12793,1287,415,346,247,105,1438.64,2024-02-29
246,LinkedIn Ads,B2B Outreach,5631,297,92,47,35,16,1346.96,2024-02-03
247,Organic Search,Retargeting,2775,306,79,56,23,11,470.3,2024-06-08
248,Email Marketing,B2B Outreach,9083,691,186,95,41,24,329.75,2024-05-31
249,Organic Search,Retargeting,9650,300,101,76,41,17,829.47,2024-05-22
250,Organic Search,Newsletter,7330,656,95,53,23,12,1575.87,2024-03-04
251,Email Marketing,Retargeting,11765,440,100,81,57,22,1956.78,2024-06-26
252,LinkedIn Ads,Newsletter,11154,456,115,88,57,29,275.51,2024-04-23
253,Facebook Ads,Newsletter,4196,173,37,19,11,7,1137.38,2024-02-01
254,Facebook Ads,Search Campaign,10714,363,46,32,14,6,1190.17,2024-04-23
255,Facebook Ads,Search Campaign,13029,711,236,173,103,31,1986.35,2024-05-01
256,Organic Search,Newsletter,11759,688,220,129,79,43,597.91,2024-05-05
257,Google Ads,B2B Outreach,2301,219,64,46,21,10,1972.41,2024-01-22
258,Facebook Ads,B2B Outreach,9003,305,43,23,15,9,584.32,2024-05-30
259,Organic Search,Search Campaign,6183,376,76,58,40,21,390.68,2024-01-23
260,Google Ads,Newsletter,4460,171,41,33,18,6,1204.48,2024-03-12
261,LinkedIn Ads,Newsletter,8272,800,256,152,72,46,1383.61,2024-01-10
262,Facebook Ads,B2B Outreach,3428,329,83,46,24,14,1197.61,2024-03-26
263,Google Ads,Newsletter,12473,1228,133,101,48,32,862.29,2024-03-15
264,Facebook Ads,Newsletter,5983,259,45,36,28,12,1007.5,2024-01-20
265,Email Marketing,Newsletter,3929,431,107,68,38,21,205.79,2024-02-07
266,Organic Search,B2B Outreach,7891,365,71,45,33,16,1502.13,2024-03-20
267,Facebook Ads,Brand Awareness,8841,711,170,120,80,49,685.68,2024-02-29
268,LinkedIn Ads,Brand Awareness,13154,984,117,60,32,19,1473.83,2024-06-07
269,Facebook Ads,Newsletter,2867,219,46,25,13,6,359.48,2024-04-25
270,Email Marketing,B2B Outreach,3136,262,74,62,47,26,958.25,2024-01-04
271,Google Ads,Retargeting,2659,267,34,21,15,6,1229.37,2024-05-23
272,LinkedIn Ads,Newsletter,11028,513,97,59,24,7,1697.05,2024-03-21
273,LinkedIn Ads,Brand Awareness,10186,579,194,114,65,42,1715.48,2024-06-13
274,LinkedIn Ads,Newsletter,12195,1246,267,178,80,26,1510.29,2024-06-11
275,Email Marketing,Retargeting,14928,1496,152,79,38,13,917.9,2024-03-24
276,Facebook Ads,Search Campaign,14835,462,78,40,16,6,696.1,2024-01-14
277,Facebook Ads,Brand Awareness,2631,309,59,38,28,11,481.49,2024-04-16
278,Google Ads,Newsletter,4643,398,95,59,31,18,355.56,2024-05-22
279,LinkedIn Ads,Newsletter,2671,239,81,56,43,13,953.83,2024-05-07
280,Google Ads,Retargeting,8285,793,273,161,106,40,1217.59,2024-05-26
281,LinkedIn Ads,B2B Outreach,10562,1240,312,194,86,31,605.57,2024-03-11
282,Organic Search,Brand Awareness,2597,209,48,25,18,10,321.8,2024-03-26
283,Google Ads,B2B Outreach,14464,1141,137,90,53,19,1902.26,2024-04-21
284,LinkedIn Ads,Search Campaign,5137,199,62,40,27,11,1616.55,2024-02-07
285,Email Marketing,Brand Awareness,6666,475,53,41,19,7,496.47,2024-05-06
286,LinkedIn Ads,Brand Awareness,11283,1106,254,145,108,70,1767.04,2024-06-03
287,LinkedIn Ads,Brand Awareness,9548,674,233,179,73,23,1035.08,2024-02-13
288,Facebook Ads,B2B Outreach,9264,603,180,113,65,29,368.13,2024-02-20
289,Facebook Ads,Newsletter,4551,213,26,16,11,4,762.23,2024-05-16
290,Facebook Ads,Retargeting,6654,316,102,69,39,20,498.86,2024-03-20
291,Email Marketing,Retargeting,8530,534,173,96,57,30,260.09,2024-01-08
292,Email Marketing,Search Campaign,2612,250,76,46,33,22,1742.37,2024-05-16
293,Email Marketing,B2B Outreach,14150,1656,338,285,190,105,498.72,2024-04-11
294,Facebook Ads,Newsletter,3529,241,33,16,9,4,1494.84,2024-06-10
295,Email Marketing,Brand Awareness,9833,365,103,58,43,26,1173.43,2024-02-29
296,Google Ads,Newsletter,9544,691,211,139,75,37,1690.85,2024-01-30
297,Facebook Ads,Search Campaign,11177,581,74,39,26,12,1829.65,2024-02-20
298,Facebook Ads,B2B Outreach,14625,1424,374,268,144,91,1048.32,2024-01-15
299,Facebook Ads,B2B Outreach,11122,364,103,55,28,8,1427.01,2024-05-27
300,Email Marketing,Retargeting,14411,1718,203,106,56,36,587.95,2024-05-22
301,Facebook Ads,Brand Awareness,9358,338,98,63,44,29,618.97,2024-05-16
302,Email Marketing,Newsletter,14130,499,162,117,87,26,504.35,2024-04-07
303,Facebook Ads,B2B Outreach,8701,621,196,135,74,51,399.3,2024-03-24
304,Organic Search,Search Campaign,12096,408,116,95,48,30,725.99,2024-06-27
305,Email Marketing,Retargeting,4946,483,145,73,57,33,748.55,2024-04-28
306,Email Marketing,Search Campaign,14920,825,262,141,96,49,373.76,2024-01-30
307,Facebook Ads,Search Campaign,2264,70,15,9,5,2,739.85,2024-02-10
308,Facebook Ads,Retargeting,7827,280,89,71,37,16,1980.25,2024-01-16
309,Organic Search,Brand Awareness,4524,476,81,52,26,16,1232.03,2024-05-28
310,Email Marketing,Newsletter,3348,176,27,18,12,6,258.76,2024-02-04
311,LinkedIn Ads,Search Campaign,11168,400,135,68,46,15,1839.22,2024-06-22
312,Email Marketing,Newsletter,2526,212,68,44,28,15,1265.05,2024-06-05
313,Email Marketing,Newsletter,14466,743,169,90,49,24,1374.0,2024-06-10
314,LinkedIn Ads,Brand Awareness,4394,425,96,69,29,11,851.34,2024-01-12
315,Facebook Ads,Retargeting,14549,496,66,39,30,12,1067.67,2024-06-16
316,Google Ads,Newsletter,10333,877,149,85,51,15,213.8,2024-05-15
317,Google Ads,Search Campaign,6650,704,120,79,45,17,914.23,2024-02-23
318,Facebook Ads,Newsletter,12621,694,211,126,91,46,1783.75,2024-02-10
319,Google Ads,Brand Awareness,7670,570,157,133,60,24,910.24,2024-04-17
320,LinkedIn Ads,Retargeting,10210,683,223,167,107,45,1682.82,2024-04-12
321,Email Marketing,Newsletter,2987,310,31,22,9,3,307.14,2024-06-23
322,Facebook Ads,Search Campaign,3875,355,45,28,16,7,417.85,2024-06-04
323,Facebook Ads,Search Campaign,2935,286,33,17,9,6,1403.43,2024-04-14
324,Facebook Ads,Newsletter,2201,137,34,17,11,7,1302.63,2024-01-28
325,LinkedIn Ads,Search Campaign,2770,263,34,27,11,5,455.85,2024-03-21
326,LinkedIn Ads,Retargeting,6008,408,70,46,29,9,421.41,2024-02-18
327,Facebook Ads,Brand Awareness,11342,690,194,141,104,60,973.88,2024-04-08
328,Facebook Ads,Search Campaign,5500,301,53,41,23,14,1680.36,2024-06-04
329,LinkedIn Ads,Newsletter,5243,589,122,74,46,20,1281.93,2024-04-09
330,Facebook Ads,B2B Outreach,6000,463,105,58,38,12,1571.43,2024-02-16
331,Facebook Ads,Search Campaign,13411,812,186,117,47,21,1625.1,2024-05-18
332,Organic Search,B2B Outreach,13120,1193,299,187,91,63,1017.2,2024-05-11
333,LinkedIn Ads,Search Campaign,7744,330,73,37,22,15,891.57,2024-06-03
334,LinkedIn Ads,B2B Outreach,9597,314,61,33,13,7,1025.34,2024-01-30
335,Email Marketing,Search Campaign,6009,667,86,71,37,24,1285.3,2024-04-22
336,Email Marketing,Newsletter,10988,614,208,132,73,31,1174.53,2024-06-13
337,Email Marketing,Brand Awareness,4352,339,48,28,20,8,1688.27,2024-04-18
